Job Title,Unnamed: 1,Key Skills,Role Category,Functional Area,Industry,Role,Min Experience
 Back End Java Developer - Restful Services/soap,, Java EE| JMS| Core Java| JUnit| Weblogic| HTML| JPA| JSON| SOAP| SQL,Programming & Design,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer,6
 Product Engineer,, Conceptualization| Architecting| Continuous improvement| SIDE| development| Front end| it,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,4
 Opening For Articulate tool Developer - Articulate / Captivate)chennai,, Articulate Storyline,Programming & Design,"IT Software - Application Programming , Maintenance","Animation, Gaming",Graphic/Web Designer,3
 Urgent Hiring for Area Sales Manager,, Area Sales Management| Retail Sales| FMCG| Chocolate| confectionary| ASM| Area Sales Manager| area business manager,Retail Sales,"Sales , Retail , Business Development","FMCG, Foods, Beverage",Area Sales Manager,7
 Software Engineer - C++ Development - Ooad/oops,, C#| Java| OOP| C++| Multithreading| UML| OOAD| OOPS| .Net| debugging,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,4
 Linux Administrator Lead,, qmail| workflow| nagios| windows server| networking| mysql| monitoring| redhat| maintaining| centos,Admin/Maintenance/Security/Datawarehousing,"IT Software - Network Administration , Security","IT-Software, Software Services",System Administrator,5
 Hiring for Tech Pm/scrum Master for Hyderabad Location,, Java| JPA| Hibernate| Project Management| JDBC| Scrum Master| Microservices| Agile| SOAP| Rest,Project Management,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Manager-IT/Software,8
 Assistant Professor (Grade I)-Theoretical Computer Science,,vide,,"Teaching , Education , Training , Counselling","Education, Teaching, Training",,3
 US Based Financial Company Looking For Java API Engineers For HYD,, Java| java api| Banking| j2ee| API| finance| core java| microservices,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,6
 Strong Partner Ecosystem,, GIS| ISO 27001| HR| information system| process| ISO 9001| Information security management| GIS software| Management| Edge,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Project Lead,2
 Wordpress Web Developer,,vide,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer,3
 Senior Executive- Contract Logistics- Bom WP-A,, Administration| Administrative Support| Contract Logistics| Staff Development| Site Management| Quality Improvement| warehousing| Warehouse Operations,Logistics,Purchase / Logistics / Supply Chain,"Courier, Transportation, Freight , Warehousing",Logistics Executive,2
 Accounts Manager,, filing| tds| service industry| pf| esi| returns| coaching| payroll| invoice| tally,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Security, Law Enforcement",Accounts Executive/Accountant,2
 Technical Sales Executive with fixed pay & lucrative incentives/UK Inb,, Outbound| Antivirus| Technical support| Sales| Spot| Inbound calls| pay| Medical| Comp,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","IT-Software, Software Services",Associate/Senior Associate -(NonTechnical),0
 nutanix sme ,, Troubleshooting| DNS| DHCP| Monitoring| Virtualization| Shell scripting| Python| VMS| Open source| Archiving,Technical Support,"IT Hardware , Technical Support , Telecom Engineering","IT-Software, Software Services",Technical Support Manager,15
 System Architect - 3g/4g Wireless Network Architecture & Migration,, 4G| 3GPP| 3G| System Architect| LTE| Radio Access Network| PhD| IEEE,Programming & Design,"IT Software - Network Administration , Security","IT-Software, Software Services",Technical Architect,10
"Excellent Opportunity For ” Linux Device Driver ” ,for Hyderabad and Ban",,arm processor|c|device drivers|embedded linux|linux kernel|ipc,Programming & Design,"IT Software - Application Programming , Maintenance",IT-Software / Software Services,Software Developer,0
 Java Developer,, JMS| Core Java| Sonar| Weblogic| XML| J2Ee| SVN| Spring| Oracle 11G| SQL,,Other,Other,Other,6
 Regional Representative,, market| presentation| strong analytical skills| english| presentation skills| developing| customer interaction,Institutional Sales,"Sales , Retail , Business Development","IT-Software, Software Services",Sales/Business Development Manager,0
 Hiring For Record To Report,, fixed assets| accounts payable| record to report| general accounting| general ledger,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),1
 Product & Regional Sales Manager,, Team management| Regional sales| Management,Retail Sales,"Sales , Retail , Business Development","Strategy, Management Consulting Firms",Regional Manager,3
 Senior Manager/associate Director - Mandarin,, Commercial Activities| Commercial Sales| Online Sales| Senior Management| Budgeting| Strategy Implementation| Marketing| E - commerce,Senior Management,"Sales , Retail , Business Development","Internet, Ecommerce",Head / VP/ GM/ National Manager After Sales,10
 ODI Developer/lead ODI Developer - RACI,, ODI| Matrix,Programming & Design,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer,5
 UI Developer,, javascript| sql| php| php mysql| css| software development| technical| photoshop| mca| ajax| jquery| application| web| design| mysql| html,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,2
 Assistant Manager ,, Relationship management| Relationship building| Client relationship| Training| Analytical skills| Process mapping| Standard operating procedures| Agile| Management| Visa processing,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Associate/Senior Associate -(NonTechnical),5
 Android Developer,, android| btech| iphone| server| analytical| developing| ios| platforms| objective c| web| xml| design| json| programming| development| c| testing| mobile| xcode| application development| eclipse| application| sdk| applications,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,2
 International BPO / Non Voice Process / Rotational Shift / Ahmedabad,, cca| bpo| csr| international bpo| customer service| outbound process| customer care| tourism| customer support| fresher| voice process| inbound process| cse| bpo fresher| voice support| hotel| travel,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),1
 iOS Developer,, bca| graphics| application development| b tech| core| b sc| application| b e| ios| publishing| animation,Programming & Design,IT Software - Mobile,"IT-Software, Software Services",Software Developer,2
 F&A Black belt - Process Excellence Lead,, Accounting| Continuous Improvement| Process Improvement| Load Balancing| Lean Six Sigma| Black Belt| Training| Green Belt| Process re - engineering| Process Excellence| Business Excellence| OTC,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Team Leader -(NonTechnical),8
 IT - Head (preferably from an NGO),, networking| information technology| network administration| technical support| support services| license management| disaster recovery| data security| it training| it software,,Other,"NGO, Social Services, Regulators, Industry Associations",Other,15
 Digital Content Producer For largest Media House,, Automobile| Digital Content| Content Development| Production| Web Content Writing,Content Development,"Journalism , Editing , Content","Media, Entertainment, Internet",Content Developer,3
 Manager Holidays,, Tourism| target achievement| negotiation skills| revenue management| Tour Packages,Retail Sales,"Sales , Retail , Business Development","Aviation, Aerospace, Aeronautical",Sales/Business Development Manager,6
 Backend Developer,, PHP| Networking| Data structures| HTTP| JSON| Software design| Computer science| System design| Backend| Ticketing,Programming & Design,"IT Software - Application Programming , Maintenance","Internet, Ecommerce",Software Developer,1
 JUNIOR BIG DATA ANALYST IN,,vide,Operations,"ITES , BPO , KPO , LPO , Customer Service , Operations","Recruitment, Staffing",Business/EDP Analyst,1
 Chief Engineer,, Chief Engineer| Hospitality| HVAC| Maintenance| Water Treatment| Energy Conservation| Capital Expenditure,,Top Management,"Travel , Hotels , Restaurants , Airlines , Railways",CEO/MD/Director,11
,,Marketing|Executive|Marketing|Marketing|Executive|Direct|Executives|Marketing|Executive|Executive|Executive|Executive|Marketing|Executive|Marketing|Executive|direct|marketing|executive|Marketing|Executive|Marketing|Executive|Executive|Marketing|Executive|direct|Executive|Direct|Marketing|Executive|Executive|Direct|Marketing|Marketing|Executive,,,,,0
 Oracle DBA Consultant - Data Guard/rac Modules,, WebLogic| configuration| MySQL| installation| Oracle DBA| troubleshooting| Oracle RAC,Admin/Maintenance/Security/Datawarehousing,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",DBA,2
 Global HR Operations Analyst,, Service level| Data management| HR Coordinator| Management audit| HR operations| Human resource management,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Industrial Products, Heavy Machinery",HR Executive,1
,,Manager|Transformation|Manager|Transformation|Manager|Manager|Manager|Manager|Transformation|Manager|Transformation|Manager|Manager|Transformation|Manager|Manager|Transformation|Transformation|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Transformation|Manager|Manager|Manager|Manager|Manager|Manager|Transformation|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Transformation|Manager|Transformation|Manager|Manager|Manager|Transformation|Manager|Transformation|Manager|Manager|Transformation|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Manager|Transformation,,,,,0
 Compiler- Support Engineer,, Graphics| C++| Windows OS| Linux| high performance computing| Test cases| System software| Gaming| FreeBSD,Programming & Design,"IT Software - Application Programming , Maintenance","Telcom, ISP",Software Developer,5
 Key Accounts Manager,,vide,Advertising,"Marketing , Advertising , MR , PR , Media Planning","Telcom, ISP",Client Servicing/Key Account Manager,0
 Head Sales- Coworking Company,, Sales| Team Building| Strategic Leadership| Real Estate| Field Sales| Sales Strategy| Enterprise Business| Go - to - market Strategy| Enterprise sales| Sales Executive Activities| Marketing,Senior Management,"Sales , Retail , Business Development","Real Estate, Property",Head/VP/GM/National Manager -Sales,7
" Clubhouse Manager, Facility Manager,",, Facility Management| facility services,Health & Fitness,Beauty / Fitness / Spa Services,Facility Management,Centre Head / Branch Head / Club Manager,2
 IP DRG / Surgery / ED / Denials Coders,, sds| radiology| CPT| icd - 10| EM| medical coding| coders| surgery| ed,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),1
 Sales Manager - Education Sales,, Market analysis| Public relations| CV| Relationship building| Market intelligence| Prospecting| Budgeting| Sales process| Branding,Retail Sales,"Sales , Retail , Business Development","Recruitment, Staffing",Sales/Business Development Manager,5
 HR Associate,, ERP| MIS| Succession Planning| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","IT-Software, Software Services",HR Executive,0
 Manager / Sr Manager - Digital Ad Sales - Ecommerce,, revenue generation| marketing| ad sales| web technologies,Corporate Sales,"Sales , Retail , Business Development","Internet, Ecommerce",Sales/Business Development Manager,4
 Architect Junior/ Middle level,, co ordination| team management| drafting| loans| online| coordination| quality,Architectural Services,"Architecture , Interior Design","BPO, Call Centre, ITeS",Project Architect,1
 php developer,, English| PHP| XML| DOM| SOAP| Com| Web technologies| Written communication| Email| Time,Programming & Design,IT Software - Other,"Recruitment, Staffing",Software Developer,3
 Openstack Engineer / Openstack Admin with Ceph Storage,, cloud| puppet| python| git| KVM| linux| jenkins| openstack| ansible,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",System Analyst,6
 Sr. Software Engineer,, National| Branch| Vice President| J2Ee| Software,Programming & Design,"IT Software - Application Programming , Maintenance","Strategy, Management Consulting Firms",Software Developer,4
 Software Engineering- Mentor,, Mentor| Android| Consulting| Usage| development| software| mobile| it| SIDE| Front end| Web technologies| Coding| web| backend| Open source| programming| Investment,Programming & Design,"IT Software - Embedded , EDA , VLSI , ASIC , Chip Design","IT-Software, Software Services",Software Developer,1
 Application Tester,, Performance Testing| Software Testing| Manual Testing| Quality Testing,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Testing Engineer,3
 Credit Control - Manager / Asst. Manager,, Pivot Table| Credit Analysis| Tally ERP| Accounting| VLOOKUP| Finance| Lookup| Advanced Excel| HLOOKUP| Credit Control,,Other,"Travel , Hotels , Restaurants , Airlines , Railways",Other,3
 Night Shift - Non Voice / Web Chat - BPO,, international bpo| bpo| kpo| web chat| non voice process| e mail| international call center| customer service representative| cse| interpersonal skills| ites| uk shift| customer service| e - commerce| customer care| customer support| bpo fresher,Voice,"ITES , BPO , KPO , LPO , Customer Service , Operations","BPO, Call Centre, ITeS",Associate/Senior Associate -(NonTechnical),0
 Sales Executive,, Innovative| Aggressive,Front Office/Customer Care,"Hotels , Restaurants","Travel , Hotels , Restaurants , Airlines , Railways",Front Office/Guest Relations Executive/Manager,2
 Design Engineer Mechanical,, Communication Skills| Detail Engineering| Material Handling| AutoCAD| Detailing| Design Engineering| Microstation| Bid Evaluation,Engineering Design,"Engineering Design , R&D","Oil and Gas, Energy, Power, Infrastructure",Design Engineer,7
 Android developer,, design| android| erp| software| mvc| quality,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,1
 Technical Writer,, Technical Writing| Technical Documentation| Articles| Writing Skills| Product Support,QA/Testing/Documentation,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Technical Writer,4
" Pro-Engineer , Matlab ,Ansys",, Ansys| thermal| MATLAB| System design| Recruitment| MCCB| Electricals,Engineering Design,"Engineering Design , R&D","Recruitment, Staffing",Design Engineer,3
 Business Development Executive - Kolkata,, Product placement| Market research| Distributor handling| Business Development Executive| Customer service| Customer Service Executive| Secondary sales| Supervision,Retail Sales,"Sales , Retail , Business Development","Textiles, Garments, Accessories",Sales/Business Development Manager,2
 Accountant - UK Based Accounting,, Management accounting| Accounting| VAT| Book Keeping| SAGE| Tax returns,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant,1
 Opportunity For Current Account RM ||bank || Delhi,, Trade| Forex Trading| Forex| fx| Lead Generation| Accounting| Banking| Revenue Generation| Current Account,Retail Sales,"Sales , Retail , Business Development","Banking, Financial Services, Broking",Sales/Business Development Manager,2
 PHP Developer,, XML| Javascript| PHP| development| css| technical| analytical| software| testing| HTML| tools| Joomla| coding| jQuery| web| MySQL| Wordpress| design| XHTML| debugging| Ajax,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,1
 Senior Engineering Maintenance Manager For Knitting and ZLD System,, zld| Engineering Management| knitting,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Textiles, Garments, Accessories",Engineering Manager,12
 Accounting Specialist,, Analyst| ERP| Change management| Business objects| Managed services| Business process mapping| Executive management| Data mining| oracle project accounting| Testing,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","IT-Software, Software Services",Accounts Executive/Accountant,0
 Manager (Service Operation),, ERP| Succession Planning| MIS| Reports| Talent Management| Human Resources| HR Policies| Recruitment| Talent Acquisition,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Construction, Engineering, Cement, Metals",Training Manager,8
 DevOps Engineer Intern,, Intern| Linux| Windows| Unix| DNS| C++| Perl| IIS| Redhat| HTTP,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,0
 PHP Developer (wordpress & Woo Commerce/shopify / Magento),, C| Woocommerce| Magento| Wordpress| MySQL| PHP| Shopify| JQuery| Web Development| Ajax,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,2
 Java Developer,, CSS| Singleton| XML| Javascript| JDBC| Struts| JSON| HTML| Spring Boot| JQuery,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,1
 Sr. Manager- Business Development,, Business Development Management| Bd| Marketing| business development| Projects| business development manager| bdm| Tendering| Proposal,Corporate Sales,"Sales , Retail , Business Development","Construction, Engineering, Cement, Metals",Sales/Business Development Manager,15
 Test Principal Engineer,, Ethical Hacking| Certified Ethical Hacker| Networking Protocols| Penetration Testing| Nessus| NMAP| Fortify| Vulnerability Assessment| Appscan| Qualys,Programming & Design,IT Software - QA & Testing,"IT-Software, Software Services",Testing Engineer,8
 Graphic Designer,, Graphic designing| Graphics| adobe creative suite| Architecture| MS Office| Business Executive,Creative,"Design , Creative , User Experience","Architecture, Interior Design",Graphic Designer,2
 Business Development Executive,, Payment collection| Costing| Business Development Executive| Lead generation| Sales| Vendor| Cost,Corporate Sales,"Sales , Retail , Business Development","Recruitment, Staffing",Sales Executive/Officer,1
 Animation Resident,, Internship| Digital marketing| Social media| Relationship building| Animation| Creative| Indesign| Business Executive| Presentation skills| Senior,Advertising,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Client Servicing Executive,2
Enterprise Business Development Representative,,market penetration|marketing|customer satisfaction|enterprise business|web technologies|business development|strategy|aws|sales,Channel Sales,"Sales , Retail , Business Development",IT-Software / Software Services,Sales Executive / Officer,0
 Dot Net Developer,, jquery| git| microsoft sql server| net asp net| software| testing| ado.net| microsoft| tools| sql| unit tests| database| application| web| design| .net| object oriented programming| support| programming,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,2
" Urgent Opening for ""US Staffing Professionals"" - Noida",, technical recruitment| us staffing| us recruitment| us recruiter| us it staffing| technical recruiter| it recruiter| recruiter| w2| c2c| talent acquisition| recruitment| staffing| sourcing,HR/ Recruitment / IR,"HR , Recruitment , Administration , IR","Recruitment, Staffing",Recruitment Executive,1
 Front Office Executive-Noida,, Front Office Executive,,"Executive Assistant , Front Office , Data Entry","Recruitment, Staffing",Receptionist,1
 Project Executive/coordinator,, Project Administration| Coordination,Sales Support,"Sales , Retail , Business Development","Industrial Products, Heavy Machinery",Sales Coordinator,2
 Sterling OMS Architect,, Order Management system| Sterling Commerce| Sterling| OMS| Sterling Integrator| ecommerce| E - commerce,System Design/Implementation/ERP/CRM,"IT Software - eCommerce , Internet Technologies","IT-Software, Software Services",Solution Architect / Enterprise Architect,5
 Dot net Developer,, analytical| documentation| web development| algorithms| development| javascript| sql server| jquery| database| web| flex| design| mysql| net,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,3
 Centreless Grinding Operator ,, NCTVT,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Internet, Ecommerce",Workman/Foreman/Technician,4
 PHP Developer Jobs In Gurgaon - Team Lead - PHP,, Drupal| Application programming| MySQL| Wordpress| PHP| CakePHP| Team Leader| MVC| Zend| Software services,Programming & Design,"IT Software - Application Programming , Maintenance","Recruitment, Staffing",Software Developer,8
 Sales Lead,, Outbound| Sales| Project management| Analytical| Sales Lead| Automation tools| Sales process| marketing automation,Retail Sales,"Sales , Retail , Business Development","Internet, Ecommerce",Sales Executive/Officer,3
 Clerk - Garh Shankar (Vacancy-1),,vide,,"Executive Assistant , Front Office , Data Entry","Government, Defence",,0
 Senior Design Engineer - Manufacturing,, AutoCAD| 3D Modeling| FMEA| Mechanical Engineering| Mechanical Design| SolidWorks,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Design Engineer/Manager,6
 Software Engineer Automation - Industrial Automation Job In Bangalore,, Automation Engineer,Engineering Design,"Engineering Design , R&D","Industrial Products, Heavy Machinery",Technical Lead/Project Lead,3
 Looking For Assistant Manager - Healthcare (US Visa is Must),, Revenue Cycle Management| US Healthcare| Payment Posting| Medical Billing| Medical Coding| us visa| Team Leading Skills| Healthcare| Denial Management| RCM,Back Office/Web/Transaction Processing,"ITES , BPO , KPO , LPO , Customer Service , Operations","Medical, Healthcare, Hospitals",Team Leader -(NonTechnical),5
 Senior Accounts Executive,,vide,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Recruitment, Staffing",Accounts Executive/Accountant,4
 QA for Voice Process (LE-0097-N1C),, Voice process| qaqc| Writing| Process operations| Verbal,Quality,"ITES , BPO , KPO , LPO , Customer Service , Operations","Internet, Ecommerce",Quality Assurance/Quality Control Executive,2
" Senior Resident - Obs. & Gynae, Max Hospital, Gurgaon",, Patient Care| Nursing| People Orientation| Report Generation| Service Quality| Disaster Management| Customer Care| Medical| Process Orientation,,Other,"Medical, Healthcare, Hospitals",Other,0
,,vide,,,,,0
 Manager/senior Manager- Analytics- Life & Annuities - Insurance Domain,, Predictive Modeling| SAS| Data Management| Data Mining| Tableau| Data Analytics| Statistics| Analytics| SQL| Python,Analytics & BI,Analytics & Business Intelligence,"IT-Software, Software Services",Analytics Manager,4
 Executive Medical Coder,, molecular biology| chemistry| biotechnology| bhms| biology| Physiotherapy| microbiology| nursing| biomedical| Physics| medical coding| biochemistry| pharmacy| Ophthalmology| micro biology| Bioinformatics| zoology| biotech,Other,"ITES , BPO , KPO , LPO , Customer Service , Operations","Medical, Healthcare, Hospitals",Trainee,0
 Account Assistant,, accounts executive| accountant| Stock Management| gst| auditing| Statutory Compliance| accounting| Account Assistant| Bank Reconciliation| tax audit| banking| monthly reports| Payroll| salary processing| income tax| Income Tax Return| taxation,Accounts,"Accounts , Finance , Tax , Company Secretary , Audit","Architecture, Interior Design",Accounts Executive/Accountant,3
 Informatica Faculty Job Requirement in Hyderabad,, Informatica Power Center| Informatica,Programming & Design,"IT Software - DBA , Datawarehousing","IT-Software, Software Services",Software Developer,1
 SEO Expert/ Digital Marketing Gurgaon,, digital marketing| seo specialist| advertising agency| online marketing| seo| seo expert| facebook marketing,Online/Digital Marketing,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Search Engine Optimisation /SEO Specialist,2
 Head Engineering,, Validation| Installation| Breakdown Maintenance| Industrial Safety| gmp| Boiler| Design| HVAC| Gensets| Air Compressor| Breakdown| RO| who,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Pharma, Biotech, Clinical Research",Engineering Manager,5
 Business Development Executive,, Forecasting,Finance/Audit,"Accounts , Finance , Tax , Company Secretary , Audit","Oil and Gas, Energy, Power, Infrastructure",Financial Analyst,5
 PPC Executive,, Pay Per Click| Google AdWords| Search Engine Marketing| PPC| SEM| Google Analytics| Website Analysis| Yahoo| Web Analytics| Marketing Initiatives,Online/Digital Marketing,"Marketing , Advertising , MR , PR , Media Planning","IT-Software, Software Services",PPC /Pay Per Click Specialist,3
 Opening For the post of Mr/territory Business Manager in An Pharma,, marketing officer| pharma sales| Marketing Representative| marketing executive| pharma marketing| sales officer| sales representative| business development executive| Fresher| trainee| sales executive,Retail Sales,"Sales , Retail , Business Development","Pharma, Biotech, Clinical Research",Medical Representative,0
 Deputy Manager - Program Management,, Project management| PPAP| Automotive| External audit| Conflict resolution| Resource mobilization| PFMEA| Risk management| Project life cycle,Production/Manufacturing/Maintenance,"Production , Manufacturing , Maintenance","Industrial Products, Heavy Machinery",Project Manager-Production/Manufacturing/Maintenance,2
 Public Relations Manager - Bangalore,, PR| Public Relations| Media Relations| Social Media| Marketing Communication| corporate communication| media relation| corp comm| Online Media| public relation| Journalism| Advertising| mass communication,Public Relations,"Marketing , Advertising , MR , PR , Media Planning","Advertising, PR, MR, Event Management",Public Relations & Media Relations Manager,6
 Female Fresher's Counsellor- Gurgaon,, counselling| couselling| fresher| student counsellor| student counseling,Other,"ITES , BPO , KPO , LPO , Customer Service , Operations","Education, Teaching, Training",Fresher,0
 BE Chemical - Fresher,, Help Desk| Customer Service| customer relationship| access controls| Asset Management| Vendor Management,Other,"Production , Manufacturing , Maintenance","Recruitment, Staffing",Fresher,0
 Senior .Net Developer For Leading IT Company in Gurgaon,, asp dot net| .net developer| Dot Net Developer| asp.net| asp . net,Programming & Design,"IT Software - Application Programming , Maintenance","IT-Software, Software Services",Software Developer,2
